#HEADER
#TITLES
,,Axial Displacement,Axial Load
#UNITS
,,mm,N
#DATATYPES
Huge,Double,Float,Float
#DATA
432,2.10449,9.16E-4,6.87
433,2.10938,9.16E-4,6.87
434,2.11426,9.16E-4,6.87
435,2.11914,9.16E-4,6.87
436,2.12402,9.16E-4,7.633
437,2.12891,9.16E-4,7.633
438,2.13379,9.16E-4,6.87
439,2.13867,9.16E-4,7.633
440,2.14355,9.16E-4,6.87
441,2.14844,9.16E-4,6.87
442,2.15332,9.16E-4,6.87
443,2.15820,9.16E-4,7.633
444,2.16309,9.16E-4,7.633
445,2.16797,9.16E-4,6.87
446,2.17285,9.16E-4,7.633
447,2.17773,9.16E-4,6.87
448,2.18262,9.16E-4,7.633
449,2.18750,9.16E-4,7.633
450,2.19238,9.16E-4,6.87
451,2.19727,9.16E-4,6.87
452,2.20215,9.16E-4,6.87
453,2.20703,9.16E-4,6.87
454,2.21191,9.16E-4,6.87
455,2.21680,9.16E-4,6.87
456,2.22168,9.16E-4,7.633
457,2.22656,9.16E-4,7.633
458,2.23145,9.16E-4,6.87
459,2.23633,9.16E-4,6.87
460,2.24121,9.16E-4,7.633
461,2.24609,9.16E-4,7.633
462,2.25098,9.16E-4,7.633
463,2.25586,9.16E-4,6.87
464,2.26074,9.16E-4,7.633
465,2.26563,9.16E-4,7.633
466,2.27051,9.16E-4,6.87
467,2.27539,9.16E-4,6.87
468,2.28027,9.16E-4,6.87
469,2.28516,9.16E-4,6.87
470,2.29004,9.16E-4,6.87
471,2.29492,9.16E-4,6.87
472,2.29980,9.16E-4,6.87
473,2.30469,9.16E-4,6.87
474,2.30957,9.16E-4,6.87
475,2.31445,9.16E-4,6.87
476,2.31934,9.16E-4,6.87
477,2.32422,9.16E-4,6.87
478,2.32910,9.16E-4,6.87
479,2.33398,9.16E-4,6.87
480,2.33887,9.16E-4,6.87
481,2.34375,9.16E-4,6.87
482,2.34863,9.16E-4,6.87
483,2.35352,9.16E-4,6.87
484,2.35840,9.16E-4,6.87
485,2.36328,9.16E-4,6.87
486,2.36816,9.16E-4,6.87
487,2.37305,9.16E-4,6.87
488,2.37793,9.16E-4,6.87
489,2.38281,9.16E-4,7.633
490,2.38770,9.16E-4,7.633
491,2.39258,9.16E-4,6.87
492,2.39746,9.16E-4,6.87
493,2.40234,9.16E-4,6.87
494,2.40723,9.16E-4,7.633
495,2.41211,9.16E-4,7.633
496,2.41699,9.16E-4,6.87
497,2.42188,9.16E-4,6.87
498,2.42676,9.16E-4,6.87
499,2.43164,9.16E-4,6.87
500,2.43652,9.16E-4,7.633
501,2.44141,9.16E-4,6.87
502,2.44629,9.16E-4,6.87
503,2.45117,9.16E-4,6.87
504,2.45605,9.16E-4,6.87
505,2.46094,9.16E-4,7.633
506,2.46582,9.16E-4,7.633
507,2.47070,9.16E-4,7.633
508,2.47559,9.16E-4,6.87
509,2.48047,9.16E-4,6.87
510,2.48535,9.16E-4,6.87
511,2.49023,9.16E-4,6.87
512,2.49512,9.16E-4,7.633
513,2.50000,9.16E-4,6.87
514,2.50488,9.16E-4,7.633
515,2.50977,9.16E-4,6.87
516,2.51465,9.16E-4,6.87
517,2.51953,9.16E-4,7.633
518,2.52441,9.16E-4,6.87
519,2.52930,9.16E-4,6.87
520,2.53418,9.16E-4,7.633
521,2.53906,9.16E-4,6.87
522,2.54395,9.16E-4,6.87
523,2.54883,9.16E-4,6.87
524,2.55371,9.16E-4,6.87
525,2.55859,9.16E-4,6.87
526,2.56348,9.16E-4,6.87
527,2.56836,9.16E-4,6.87
528,2.57324,9.16E-4,6.87
529,2.57813,9.16E-4,6.87
530,2.58301,9.16E-4,6.87
531,2.58789,9.16E-4,6.87
532,2.59277,9.16E-4,6.87
533,2.59766,9.16E-4,6.87
534,2.60254,9.16E-4,6.87
535,2.60742,9.16E-4,6.87
536,2.61230,9.16E-4,6.87
537,2.61719,9.16E-4,6.87
538,2.62207,9.16E-4,6.87
539,2.62695,9.16E-4,6.87
540,2.63184,9.16E-4,6.87
541,2.63672,9.16E-4,6.87
542,2.64160,9.16E-4,6.87
543,2.64648,9.16E-4,6.87
544,2.65137,9.16E-4,6.87
545,2.65625,9.16E-4,6.87
546,2.66113,9.16E-4,6.87
547,2.66602,9.16E-4,6.87
548,2.67090,9.16E-4,6.87
549,2.67578,9.16E-4,7.633
550,2.68066,9.16E-4,6.87
551,2.68555,9.16E-4,6.87
552,2.69043,9.16E-4,6.87
553,2.69531,9.16E-4,6.87
554,2.70020,9.16E-4,6.87
555,2.70508,9.16E-4,6.87
556,2.70996,9.16E-4,6.87
557,2.71484,9.16E-4,6.87
558,2.71973,9.16E-4,6.87
559,2.72461,9.16E-4,6.87
560,2.72949,9.16E-4,6.87
561,2.73438,9.16E-4,6.87
562,2.73926,9.16E-4,6.87
563,2.74414,9.16E-4,6.87
564,2.74902,9.16E-4,6.87
565,2.75391,9.16E-4,6.87
566,2.75879,9.16E-4,6.87
567,2.76367,9.16E-4,6.87
568,2.76855,9.16E-4,6.87
569,2.77344,9.16E-4,6.87
570,2.77832,9.16E-4,6.87
571,2.78320,9.16E-4,6.87
572,2.78809,9.16E-4,6.87
573,2.79297,9.16E-4,6.87
574,2.79785,9.16E-4,6.87
575,2.80273,9.16E-4,6.87
576,2.80762,9.16E-4,6.87
577,2.81250,9.16E-4,6.87
578,2.81738,9.16E-4,6.87
579,2.82227,9.16E-4,6.87
580,2.82715,9.16E-4,6.87
581,2.83203,9.16E-4,6.87
582,2.83691,9.16E-4,6.87
583,2.84180,9.16E-4,6.87
584,2.84668,9.16E-4,6.87
585,2.85156,9.16E-4,6.87
586,2.85645,9.16E-4,6.87
587,2.86133,9.16E-4,6.87
588,2.86621,9.16E-4,7.633
589,2.87109,9.16E-4,7.633
590,2.87598,9.16E-4,7.633
591,2.88086,9.16E-4,7.633
592,2.88574,9.16E-4,7.633
593,2.89063,9.16E-4,7.633
594,2.89551,9.16E-4,7.633
595,2.90039,9.16E-4,7.633
596,2.90527,9.16E-4,7.633
597,2.91016,9.16E-4,7.633
598,2.91504,9.16E-4,7.633
599,2.91992,9.16E-4,7.633
600,2.92480,9.16E-4,7.633
601,2.92969,9.16E-4,7.633
602,2.93457,9.16E-4,7.633
603,2.93945,9.16E-4,7.633
604,2.94434,9.16E-4,7.633
605,2.94922,9.16E-4,7.633
606,2.95410,9.16E-4,7.633
607,2.95898,9.16E-4,7.633
608,2.96387,9.16E-4,7.633
609,2.96875,9.16E-4,7.633
610,2.97363,9.16E-4,7.633
611,2.97852,9.16E-4,7.633
612,2.98340,9.16E-4,7.633
613,2.98828,9.16E-4,7.633
614,2.99316,9.16E-4,7.633
615,2.99805,9.16E-4,7.633
616,3.00293,9.16E-4,7.633
617,3.00781,9.16E-4,7.633
618,3.01270,9.16E-4,7.633
619,3.01758,9.16E-4,7.633
620,3.02246,9.16E-4,7.633
621,3.02734,9.16E-4,7.633
622,3.03223,9.16E-4,7.633
623,3.03711,9.16E-4,7.633
624,3.04199,9.16E-4,7.633
625,3.04688,9.16E-4,7.633
626,3.05176,9.16E-4,7.633
627,3.05664,9.16E-4,7.633
628,3.06152,9.16E-4,7.633
629,3.06641,9.16E-4,7.633
630,3.07129,9.16E-4,7.633
631,3.07617,9.16E-4,7.633
632,3.08106,9.16E-4,7.633
633,3.08594,9.16E-4,7.633
634,3.09082,9.16E-4,7.633
635,3.09570,9.16E-4,7.633
636,3.10059,9.16E-4,7.633
637,3.10547,9.16E-4,7.633
638,3.11035,9.16E-4,7.633
639,3.11523,9.16E-4,7.633
640,3.12012,9.16E-4,7.633
641,3.12500,9.16E-4,7.633
642,3.12988,9.16E-4,7.633
643,3.13477,9.16E-4,7.633
644,3.13965,9.16E-4,7.633
645,3.14453,9.16E-4,7.633
646,3.14941,9.16E-4,7.633
647,3.15430,9.16E-4,7.633
648,3.15918,9.16E-4,7.633
649,3.16406,9.16E-4,7.633
650,3.16895,9.16E-4,7.633
651,3.17383,9.16E-4,7.633
652,3.17871,9.16E-4,7.633
653,3.18359,9.16E-4,7.633
654,3.18848,9.16E-4,7.633
655,3.19336,9.16E-4,7.633
656,3.19824,9.16E-4,7.633
657,3.20313,9.16E-4,7.633
658,3.20801,9.16E-4,7.633
659,3.21289,9.16E-4,7.633
660,3.21777,9.16E-4,7.633
661,3.22266,9.16E-4,7.633
662,3.22754,9.16E-4,7.633
663,3.23242,9.16E-4,7.633
664,3.23731,9.16E-4,7.633
665,3.24219,9.16E-4,7.633
666,3.24707,9.16E-4,7.633
667,3.25195,9.16E-4,7.633
668,3.25684,9.16E-4,7.633
669,3.26172,9.16E-4,7.633
670,3.26660,9.16E-4,7.633
671,3.27148,9.16E-4,7.633
672,3.27637,9.16E-4,7.633
673,3.28125,9.16E-4,7.633
674,3.28613,9.16E-4,7.633
675,3.29102,9.16E-4,7.633
676,3.29590,9.16E-4,7.633
677,3.30078,9.16E-4,7.633
678,3.30566,9.16E-4,6.87
679,3.31055,9.16E-4,7.633
680,3.31543,9.16E-4,7.633
681,3.32031,9.16E-4,7.633
682,3.32520,9.16E-4,7.633
683,3.33008,9.16E-4,7.633
684,3.33496,9.16E-4,7.633
685,3.33984,9.16E-4,7.633
686,3.34473,9.16E-4,7.633
687,3.34961,9.16E-4,7.633
688,3.35449,9.16E-4,6.87
689,3.35938,9.16E-4,6.87
690,3.36426,9.16E-4,6.87
691,3.36914,9.16E-4,6.87
692,3.37402,9.16E-4,7.633
693,3.37891,9.16E-4,6.87
694,3.38379,9.16E-4,6.87
695,3.38867,9.16E-4,6.87
696,3.39356,9.16E-4,6.87
697,3.39844,9.16E-4,6.87
698,3.40332,9.16E-4,6.87
699,3.40820,9.16E-4,6.87
700,3.41309,9.16E-4,6.87
701,3.41797,9.16E-4,6.87
702,3.42285,9.16E-4,6.87
703,3.42773,9.16E-4,6.87
704,3.43262,9.16E-4,6.87
705,3.43750,9.16E-4,6.87
706,3.44238,9.16E-4,6.87
707,3.44727,9.16E-4,6.87
708,3.45215,9.16E-4,6.87
709,3.45703,9.16E-4,6.87
710,3.46191,9.16E-4,6.87
711,3.46680,9.16E-4,6.87
712,3.47168,9.16E-4,6.87
713,3.47656,9.16E-4,6.87
714,3.48145,9.16E-4,6.87
715,3.48633,9.16E-4,6.87
716,3.49121,9.16E-4,6.87
717,3.49609,9.16E-4,6.87
718,3.50098,9.16E-4,6.87
719,3.50586,9.16E-4,6.87
720,3.51074,9.16E-4,6.87
721,3.51563,9.16E-4,6.87
722,3.52051,9.16E-4,6.87
723,3.52539,9.16E-4,6.87
724,3.53027,9.16E-4,6.87
725,3.53516,9.16E-4,6.87
726,3.54004,9.16E-4,6.87
727,3.54492,9.16E-4,6.87
728,3.54981,9.16E-4,6.87
729,3.55469,9.16E-4,6.87
730,3.55957,9.16E-4,6.87
731,3.56445,9.16E-4,6.87
732,3.56934,9.16E-4,6.87
733,3.57422,9.16E-4,6.87
734,3.57910,9.16E-4,6.87
735,3.58398,9.16E-4,6.87
736,3.58887,9.16E-4,6.87
737,3.59375,9.16E-4,6.87
738,3.59863,9.16E-4,6.87
739,3.60352,9.16E-4,6.87
740,3.60840,9.16E-4,6.87
741,3.61328,9.16E-4,6.87
742,3.61816,9.16E-4,6.87
743,3.62305,9.16E-4,6.87
744,3.62793,9.16E-4,6.87
745,3.63281,9.16E-4,6.87
746,3.63770,9.16E-4,6.87
747,3.64258,9.16E-4,6.87
748,3.64746,9.16E-4,6.87
749,3.65234,9.16E-4,6.87
750,3.65723,9.16E-4,6.87
751,3.66211,9.16E-4,6.87
752,3.66699,9.16E-4,6.87
753,3.67188,9.16E-4,6.87
754,3.67676,9.16E-4,6.87
755,3.68164,9.16E-4,6.87
756,3.68652,9.16E-4,6.87
757,3.69141,9.16E-4,6.87
758,3.69629,9.16E-4,6.87
759,3.70117,9.16E-4,6.87
